"MAJOR1","STUID","SCICAREER","SCIENCE_SELF_EFFICACY","SCIENCE_IDENTITY","ACADEMIC_SELFCONCEPT","HABITS_OF_MIND","MAJORGPA","GOAL19","GOAL11","GOAL04","RESEARCH","HPW17","HPW29","HPW28","HPW09","HPW04","HPW24","HPW06","HPW27","HPW02","major","SCIENCE_SELF_EFFICACY_z","SCIENCE_IDENTITY_z","ACADEMIC_SELFCONCEPT_z","HABITS_OF_MIND_z"
447,"989198211",3,49.76,55.93,46.21,50.09,8,1,3,2,1,5,5,2,5,4,4,2,4,1,"Math & Computer Science",-0.109448916402666,0.568281760460299,-0.55539917188645,-0.332176617905603
444,"989213543",4,53.77,56.82,50.09,53.17,7,3,3,2,5,7,6,5,4,3,4,3,1,3,"Math & Computer Science",0.209263023003333,0.647678155693626,-0.114782581441972,0.0242235730155201
663,"98920765S",3,51.07,33.36,48.6,51.68,5,2,2,1,1,6,5,4,5,3,4,1,1,4,"Biological & Life Sciences",-0.00533105091093062,-1.44517513888373,-0.283988437050805,-0.148190805059958
561,"989170491",1,67.38,44.1,36.18,58.08,7,1,4,4,1,4,4,2,3,1,1,4,1,3,"Physical Science",1.29097611410449,-0.487065830113023,-1.69441577038081,0.592381020230686
443,"989213166",2,56.49,49.83,48.17,40.63,5,3,1,1,1,6,3,3,3,1,5,4,1,1,"Math & Computer Science",0.425446682650294,0.0241042200970472,-0.332819657125838,-1.42683434716334
447,"989146268",5,70.93,70.79,64.29,66.43,6,4,4,4,2,8,1,4,1,1,1,5,1,3,"Math & Computer Science",1.57312758165843,1.89393393255832,1.49778329080328,1.55859582353958
115,"989213070",2,50.44,52.52,38.78,41.04,2,1,4,2,1,5,4,8,6,7,6,4,7,2,"Health Professions",-0.0554030014909255,0.264077594453957,-1.39915723039224,-1.37939146460566
768,"989216146",3,45.57,52.52,38.97,43.09,2,2,3,2,1,5,5,5,8,5,6,4,6,2,"Engineering",-0.442467127402948,0.264077594453957,-1.37758064477769,-1.14217705181725
115,"989212763",3,44.62,54.43,50.09,42.9,3,1,4,2,1,6,3,4,4,1,5,4,1,1,"Health Professions",-0.517972449706115,0.434467611190647,-0.114782581441972,-1.16416277788056
115,"989247410",5,70.93,70.79,51.7,57.9,7,3,3,1,5,5,4,4,5,1,4,3,1,3,"Health Professions",1.57312758165843,1.89393393255832,0.0680505913971021,0.571552437644387
562,"989257764",3,45.4,46.02,46.2,46.34,5,2,2,2,1,6,1,4,5,1,4,5,1,2,"Physical Science",-0.455978606130883,-0.315783719047869,-0.556534781655637,-0.76610542178684
562,"989197453",2,46.32,50.68,47.65,44.38,6,2,3,3,1,6,3,6,5,1,3,5,1,2,"Physical Science",-0.382857662426764,0.0999322380165168,-0.391871365123551,-0.992905543282101
561,"989210128",2,44.2,50,43.98,45.19,7,2,4,3,1,5,5,6,6,4,3,3,1,3,"Physical Science",-0.551353750092777,0.0392698236809412,-0.808640150415105,-0.899176921643753
446,"989209913",3,46.96,54.12,50.58,49.24,7,2,3,2,1,8,5,4,5,3,5,4,5,4,"Math & Computer Science",-0.33199091898042,0.406812687008252,-0.0591377027518197,-0.430533813452016
115,"989229652",2,58,63.3,64.29,66.43,6,3,4,4,5,5,3,5,5,6,4,4,1,2,"Health Professions",0.545460405469011,1.22575528053852,1.49778329080328,1.55859582353958
558,"989241677",3,56.49,58.91,46.21,40.54,7,2,3,2,1,5,1,8,8,1,5,3,5,2,"Physical Science",0.425446682650294,0.834125870342674,-0.55539917188645,-1.43724863845649
663,"989214473",5,61.01,59.5,51.11,35.91,7,4,4,4,2,4,3,4,3,3,6,4,1,3,"Biological & Life Sciences",0.784693058240097,0.886759435722071,0.00104961501508065,-1.97300606831519
115,"989210090",3,44.62,53.51,42.11,44.88,4,2,3,2,5,4,3,4,6,2,5,3,1,4,"Health Professions",-0.517972449706115,0.352394932971927,-1.02099917725304,-0.935048369431268
561,"989223208",3,44.62,52.52,38.97,39.95,5,3,3,3,1,5,5,5,5,5,5,5,5,1,"Physical Science",-0.517972449706115,0.264077594453957,-1.37758064477769,-1.50552010360047
115,"989221348",2,46.66,54.43,47.65,43.39,4,1,4,2,3,5,4,5,5,4,4,5,1,2,"Health Professions",-0.355834704970894,0.434467611190647,-0.391871365123551,-1.10746274750675
558,"989220888",3,35.02,39.72,31.63,39.5,2,2,4,3,1,4,1,2,4,1,4,4,1,3,"Physical Science",-1.28097360140127,-0.877803145980407,-2.2111182153608,-1.55759156006622
663,"989237625",3,65.98,59.5,61.34,54.08,7,2,3,3,1,7,3,5,2,3,5,6,1,3,"Biological & Life Sciences",1.17970511281561,0.886759435722071,1.16277840889317,0.129523629424033
558,"989227057",5,55.65,59.35,59.02,66.43,5,3,3,4,1,4,3,4,6,3,5,3,1,4,"Physical Science",0.358684081876967,0.873378020795106,0.899316942441837,1.55859582353958
115,"989241308",3,70.93,52.52,68.3,39.95,6,3,2,3,3,6,2,4,4,3,2,6,1,1,"Health Professions",1.57312758165843,0.264077594453957,1.95316280824719,-1.50552010360047
560,"989239635",5,70.93,70.79,52.39,62.07,4,3,3,4,1,7,6,8,5,4,8,5,1,3,"Physical Science",1.57312758165843,1.89393393255832,0.146407665470991,1.05408126756032
561,"989222211",4,55.65,64.66,50.01,54.82,6,4,4,4,2,6,3,4,4,3,3,4,1,3,"Physical Science",0.358684081876967,1.34708010920967,-0.123867459595467,0.215152246723264
665,"989268461",4,44.62,54.89,54.27,39.95,4,1,4,2,3,4,4,6,6,1,6,1,1,2,"Biological & Life Sciences",-0.517972449706115,0.475503950300007,0.359902302078108,-1.50552010360047
558,"446825",3,67.38,51.01,48.18,59.19,7,2,4,3,1,6,3,7,5,2,4,6,6,7,"Physical Science",1.29097611410449,0.12937135085584,-0.331684047356651,0.720823946179532
558,"360346",2,55.65,56.82,52.39,53.16,8,2,3,3,2,4,3,5,6,3,7,4,1,6,"Physical Science",0.358684081876967,0.647678155693626,0.146407665470991,0.0230664295385029
115,"339475",5,70.93,70.79,43.98,55.65,5,4,4,3,3,4,4,4,8,3,5,3,3,2,"Health Professions",1.57312758165843,1.89393393255832,-0.808640150415105,0.311195155315645
115,"370633",4,64.98,70.79,40.66,57.91,4,4,4,2,1,6,4,7,5,4,5,4,1,3,"Health Professions",1.1002258261807,1.89393393255832,-1.18566259378512,0.572709581121403
115,"339305",5,70.93,70.79,59.31,62.75,8,4,4,3,3,7,5,4,4,6,3,1,5,2,"Health Professions",1.57312758165843,1.89393393255832,0.932249625748255,1.13276702399745
115,"455482",3,70.93,70.79,54.48,51.48,8,4,4,4,2,5,4,8,6,7,4,5,1,5,"Health Professions",1.57312758165843,1.89393393255832,0.383750107231032,-0.171333674600291
115,"339526",2,70.93,64.66,47.65,60.82,7,2,3,2,1,5,3,7,5,5,4,3,1,2,"Health Professions",1.57312758165843,1.34708010920967,-0.391871365123551,0.909438332933244
115,"339367",5,55.65,59.55,48.18,52.04,4,3,4,4,1,4,2,6,6,4,2,6,2,2,"Health Professions",0.358684081876967,0.891219907364392,-0.331684047356651,-0.10653363988736
558,"446813",2,54.83,52.52,40.67,58.94,6,2,4,2,1,5,4,6,4,4,3,6,1,2,"Physical Science",0.293511066836339,0.264077594453957,-1.18452698401594,0.691895359254117
447,"40170109",1,50.11,47.75,61.03,53.16,5,1,2,3,1,7,3,8,7,1,6,4,5,3,"Math & Computer Science",-0.0816311660804464,-0.161451400223537,1.12757450604838,0.0230664295385029
663,"40167578",1,70.93,55.48,48.68,57.08,3,1,4,2,1,8,3,3,4,1,4,4,1,1,"Biological & Life Sciences",1.57312758165843,0.528137515679404,-0.274903558897311,0.476666672529023
454,"40170124",4,70.93,64.91,42.83,59.56,5,2,2,3,1,6,5,7,4,1,4,3,4,4,"Math & Computer Science",1.57312758165843,1.36938246742128,-0.939235273871588,0.763638254829148
665,"40170127",4,62.06,54.89,62.01,59.47,7,2,3,2,5,8,6,8,7,3,3,4,3,5,"Biological & Life Sciences",0.868146309206755,0.475503950300007,1.23886426342869,0.753223963535998
663,"040172543",3,50.68,54.89,56.9,50.04,8,3,3,3,1,8,4,6,4,4,5,1,4,2,"Biological & Life Sciences",-0.0363279726985464,0.475503950300007,0.658567671374236,-0.337962335290686
454,"40170158",5,43.58,52.38,45.08,38.5,7,1,3,1,2,8,8,4,1,2,5,4,6,3,"Math & Computer Science",-0.600630907806423,0.251588273855456,-0.683723075804558,-1.67330590776788
448,"40170685",2,56.98,60.27,51.9,58.08,5,2,2,2,2,8,3,6,4,1,1,8,5,2,"Math & Computer Science",0.4643915331014,0.955450699013825,0.0907627867808376,0.592381020230686
450,"40165116",3,70.93,55.43,61.03,41.4,6,1,2,3,5,7,3,6,3,4,4,2,6,2,"Math & Computer Science",1.57312758165843,0.523677044037082,1.12757450604838,-1.33773429943306
771,"40170143",2,50.58,64.91,61.03,62.07,4,2,4,2,4,6,5,5,4,1,4,2,4,4,"Engineering",-0.0442759013620378,1.36938246742128,1.12757450604838,1.05408126756032
123,"40170170",4,54.11,59.5,48.68,55.52,7,3,4,2,4,8,4,7,4,4,3,3,4,1,"Health Professions",0.236285980459202,0.886759435722071,-0.274903558897311,0.296152290114429
663,"40173712",5,53.74,60.27,59.41,48.62,7,4,4,2,3,8,4,6,8,2,4,6,1,1,"Biological & Life Sciences",0.206878644404285,0.955450699013825,0.943605723440122,-0.502276709027048
454,"40170172",2,47.09,48.06,60.12,51.63,5,1,3,3,1,7,1,3,5,1,1,4,1,1,"Math & Computer Science",-0.321658611717881,-0.133796476041142,1.02423401705239,-0.153976522445041
453,"40171530",5,60.44,60.27,58.4,57.56,7,2,4,3,1,6,4,4,3,3,3,1,4,2,"Math & Computer Science",0.739389864858197,0.955450699013825,0.828909136752256,0.532209559425822
663,"40172576",4,48.54,51.55,55,45.64,7,2,4,2,1,8,4,3,4,3,3,2,4,2,"Biological & Life Sciences",-0.206413646097259,0.177544444592915,0.442801815228745,-0.847105465178004
665,"40173602",2,44.62,48.42,38.97,51.16,7,2,2,2,3,4,4,4,4,4,4,4,4,4,"Biological & Life Sciences",-0.517972449706115,-0.101681080216425,-1.37758064477769,-0.208362265864824
663,"040170131",4,54,61.84,52.39,48.02,6,1,3,2,2,6,3,4,1,1,5,3,1,2,"Biological & Life Sciences",0.227543258929362,1.09550950858273,0.146407665470991,-0.571705317648046
454,"40173355",3,38.07,51.15,48,53.45,5,1,4,4,4,5,5,3,3,1,7,2,4,2,"Math & Computer Science",-1.03856177716479,0.141860671454341,-0.352125023202013,0.056623590371986
663,"40170065",3,56.9,62.59,65.28,51.36,8,3,4,3,1,7,6,6,4,3,5,2,4,2,"Biological & Life Sciences",0.458033190170608,1.16241658321755,1.61020865795277,-0.185219396324491
449,"40170066",4,57.76,59.5,57.26,66.43,7,3,4,3,5,6,4,4,3,3,3,4,4,3,"Math & Computer Science",0.526385376676632,0.886759435722071,0.699449623064961,1.55859582353958
665,"40170075",5,60.68,68.09,51.7,57.56,8,4,3,2,5,8,8,8,4,2,4,2,5,2,"Biological & Life Sciences",0.758464893650576,1.65306846387295,0.0680505913971021,0.532209559425822
663,"40167241",5,48.49,68.09,68.3,62.75,7,4,4,4,6,8,3,2,5,1,2,3,1,2,"Biological & Life Sciences",-0.210387610429004,1.65306846387295,1.95316280824719,1.13276702399745
663,"40170083",2,52.27,57.91,50.32,36.96,7,1,3,2,3,7,5,5,5,4,5,3,4,3,"Biological & Life Sciences",0.0900440930509643,0.744916437496239,-0.0886635567506762,-1.85150600322844
665,"40170085",2,52.11,52.07,50.09,42.61,7,3,3,3,3,5,4,4,5,3,4,3,3,2,"Biological & Life Sciences",0.077327407189378,0.223933349673061,-0.114782581441972,-1.19771993871404
454,"40172365",1,70.93,57.49,59.97,54.34,7,1,3,2,4,8,8,4,4,4,2,2,4,2,"Math & Computer Science",1.57312758165843,0.707448475700737,1.00719987051458,0.159609359826466
663,"40173463",5,54.51,64.91,61.03,48.41,6,2,3,3,6,7,3,5,6,2,4,5,4,3,"Biological & Life Sciences",0.268077695113167,1.36938246742128,1.12757450604838,-0.526576722044398
771,"40170614",4,53.84,64.85,62.01,52.25,6,3,3,3,4,6,2,5,5,1,5,3,1,1,"Engineering",0.214826573067776,1.3640299014505,1.23886426342869,-0.0822336268700103
448,"40172501",4,55.06,58.91,51.82,60.82,6,4,3,4,6,8,5,5,4,3,3,2,4,2,"Math & Computer Science",0.311791302762369,0.834125870342674,0.0816779086273434,0.909438332933244
453,"040171147",5,66.22,61.67,64.29,58.08,5,1,1,3,2,8,4,6,3,3,3,3,4,4,"Math & Computer Science",1.19878014160799,1.08034390499883,1.49778329080328,0.592381020230686
444,"40170152",1,59.62,57.11,50.69,56.71,7,1,4,2,4,7,3,6,5,2,3,6,4,2,"Math & Computer Science",0.674216849817569,0.673548891219092,-0.046645995290765,0.433852363879408
448,"40171514",2,60.72,70.79,52.39,52.03,6,2,3,3,4,7,6,8,7,1,3,5,7,2,"Math & Computer Science",0.761644065115972,1.89393393255832,0.146407665470991,-0.107690783364376
771,"40172211",5,60.55,60.27,68.3,51.59,8,2,2,3,5,5,2,3,4,1,2,3,4,3,"Engineering",0.748132586388037,0.955450699013825,1.95316280824719,-0.158605096353108
114,"040171654",5,70.93,70.79,64.29,53.45,6,3,2,2,6,8,4,5,4,1,4,2,5,6,"Health Professions",1.57312758165843,1.89393393255832,1.49778329080328,0.056623590371986
771,"40171658",3,70.93,70.79,68.3,53.16,5,2,2,2,4,8,8,7,5,1,5,5,5,3,"Engineering",1.57312758165843,1.89393393255832,1.95316280824719,0.0230664295385029
448,"40172077",4,56.49,70.79,64.45,57.56,7,3,3,3,5,4,4,6,4,1,4,4,1,1,"Math & Computer Science",0.425446682650294,1.89393393255832,1.51595304711027,0.532209559425822
771,"40173034",4,60.57,70.79,68.3,66.43,8,4,4,4,5,8,3,4,5,5,3,4,4,2,"Engineering",0.749722172120736,1.89393393255832,1.95316280824719,1.55859582353958
448,"40172089",5,56.71,61.67,59.31,58.15,6,2,3,2,5,8,5,5,5,4,5,4,3,3,"Math & Computer Science",0.442932125709974,1.08034390499883,0.932249625748255,0.600481024569803
665,"40166565",5,47.66,50,58.3,55.28,8,1,2,2,1,6,4,5,4,5,4,6,3,2,"Biological & Life Sciences",-0.276355418335982,0.0392698236809412,0.817553039060388,0.26838084666603
453,"040170834",2,61.01,64.91,64.45,57.49,7,2,3,3,4,7,3,4,2,1,5,5,4,5,"Math & Computer Science",0.784693058240097,1.36938246742128,1.51595304711027,0.524109555086705
451,"40170838",4,51.75,57.91,43.72,53.6,5,1,3,1,2,8,3,4,2,1,1,3,5,1,"Math & Computer Science",0.0487148640008097,0.744916437496239,-0.838166004413963,0.0739807425272353
664,"40169857",5,56.28,66.29,64.45,62.07,8,4,4,4,6,8,5,4,3,7,6,5,3,4,"Biological & Life Sciences",0.408756032456962,1.49249148474936,1.51595304711027,1.05408126756032
448,"40170292",1,43.92,52.52,62.01,39.95,6,1,1,1,3,8,6,5,4,1,3,4,3,2,"Math & Computer Science",-0.573607950350553,0.264077594453957,1.23886426342869,-1.50552010360047
448,"40171753",5,66.74,60.27,50.57,53,5,2,4,3,4,8,8,7,4,6,3,2,4,3,"Math & Computer Science",1.24010937065814,0.955450699013825,-0.0602733125210063,0.00455213390623716
452,"40170099",5,57.76,60.27,51.82,54.33,6,2,3,3,4,4,3,8,4,2,4,4,4,3,"Math & Computer Science",0.526385376676632,0.955450699013825,0.0816779086273434,0.158452216349449
663,"40171055",2,70.93,59.5,68.3,52.81,7,2,2,2,2,8,5,6,3,1,2,6,4,2,"Biological & Life Sciences",1.57312758165843,0.886759435722071,1.95316280824719,-0.0174335921570786
768,"40172161",4,52.87,64.91,51.11,48.43,8,2,3,2,6,6,2,4,4,5,4,5,4,4,"Engineering",0.137731665031911,1.36938246742128,0.00104961501508065,-0.524262435090364
453,"40170607",3,49.17,53.77,38.78,38.76,2,3,3,2,2,8,5,4,6,3,3,3,1,3,"Math & Computer Science",-0.156341695517264,0.375589385512,-1.39915723039224,-1.64322017736545
771,"40170460",2,63.37,55.98,58.47,58.56,6,1,4,2,5,8,5,7,3,1,3,1,1,4,"Engineering",0.97226417469849,0.57274223210262,0.836858405136564,0.647923907127485
454,"40171673",2,53.77,51.78,68.3,59.35,8,1,2,2,3,7,3,4,4,3,3,4,4,2,"Math & Computer Science",0.209263023003333,0.198062614147595,1.95316280824719,0.739338241811799
453,"40170509",4,64.98,66.29,54.18,60.82,5,2,4,3,3,6,4,5,5,3,4,4,3,4,"Math & Computer Science",1.1002258261807,1.49249148474936,0.349681814155428,0.909438332933244
771,"40170910",2,50.02,52.52,62.01,48.56,8,2,3,2,3,7,2,4,4,3,3,6,4,3,"Engineering",-0.0887843018775882,0.264077594453957,1.23886426342869,-0.509219569889148
663,"40172233",5,70.93,70.79,64.45,60.82,8,3,2,3,4,7,4,5,5,3,5,3,6,3,"Biological & Life Sciences",1.57312758165843,1.89393393255832,1.51595304711027,0.909438332933244
665,"40173271",2,41.7,53.43,61.03,43.24,5,1,3,2,3,7,3,5,4,5,6,2,3,3,"Biological & Life Sciences",-0.750051966680058,0.345258178344212,1.12757450604838,-1.124819899662
771,"40170628",3,54.66,59.49,57.26,53.07,8,2,3,2,6,6,5,4,4,4,3,3,4,3,"Engineering",0.279999588108404,0.885867341393607,0.699449623064961,0.0126521382453536
448,"40169953",3,43.96,59.5,46.24,49.86,7,2,4,2,3,7,4,6,4,3,4,3,4,3,"Math & Computer Science",-0.570428778885157,0.886759435722071,-0.551992342578889,-0.358790917876986
771,"40171976",5,58.21,70.79,64.33,51.51,8,3,2,3,4,5,3,4,3,2,6,2,2,1,"Engineering",0.562151055662343,1.89393393255832,1.50232572988003,-0.167862244169241
454,"40170008",2,53.64,57.53,56.44,52.07,7,2,3,3,6,7,3,4,4,3,4,3,4,3,"Math & Computer Science",0.198930715740794,0.711016853014595,0.606329621991644,-0.10306220945631
664,"40169960",4,46.29,51.23,59.29,53.16,8,2,4,2,4,8,3,8,4,3,5,3,4,1,"Biological & Life Sciences",-0.385242041025811,0.148997426082056,0.929978406209881,0.0230664295385029
454,"40169913",4,70.93,60.05,64.45,60.82,7,4,2,4,5,8,4,4,4,1,1,2,4,3,"Math & Computer Science",1.57312758165843,0.93582462378761,1.51595304711027,0.909438332933244
771,"40169914",5,56.11,68.09,54.27,53.45,6,3,2,2,3,7,4,5,5,2,5,8,1,2,"Engineering",0.395244553729027,1.65306846387295,0.359902302078108,0.056623590371986
665,"40171364",3,44,66.29,68.3,48.97,8,2,2,2,1,8,5,5,5,2,6,2,4,1,"Biological & Life Sciences",-0.56724960741976,1.49249148474936,1.95316280824719,-0.461776687331466
663,"40169920",1,41.66,57.91,61.03,46.07,6,1,2,2,1,7,5,7,6,3,5,3,4,3,"Biological & Life Sciences",-0.753231138145455,0.744916437496239,1.12757450604838,-0.797348295666289
454,"40169923",2,55.65,52.52,68.3,60.82,4,2,4,3,3,8,5,6,4,4,3,1,5,2,"Math & Computer Science",0.358684081876967,0.264077594453957,1.95316280824719,0.909438332933244
454,"40169932",5,66.02,55.98,48.68,57.56,5,2,3,1,6,8,8,5,5,4,3,4,4,3,"Math & Computer Science",1.18288428428101,0.57274223210262,-0.274903558897311,0.532209559425822
454,"40171963",4,51.95,64.85,50.75,52.04,3,1,4,1,5,8,4,4,4,3,4,1,3,5,"Math & Computer Science",0.0646107213277923,1.3640299014505,-0.039832336675644,-0.10653363988736
454,"40170885",4,59.62,57.91,49.95,57.49,5,3,4,3,5,8,5,5,3,3,3,2,3,3,"Math & Computer Science",0.674216849817569,0.744916437496239,-0.130681118210587,0.524109555086705
448,"40171037",5,58.21,61.82,57.26,59.19,6,2,2,4,6,7,1,7,4,1,5,4,3,2,"Math & Computer Science",0.562151055662343,1.0937253199258,0.699449623064961,0.720823946179532
665,"40171035",2,55.65,58.91,61.34,50.1,8,1,3,4,2,7,4,6,4,2,2,5,6,3,"Biological & Life Sciences",0.358684081876967,0.834125870342674,1.16277840889317,-0.331019474428586
454,"40169978",5,58,55.6,61.94,66.43,8,2,2,3,4,8,2,6,2,5,2,4,4,4,"Math & Computer Science",0.545460405469011,0.538842647620976,1.23091499504438,1.55859582353958
665,"40189972",2,43.01,51.27,59.31,50.95,6,2,3,2,1,7,4,6,6,2,5,8,4,3,"Biological & Life Sciences",-0.645934101188323,0.152565803395914,0.932249625748255,-0.232662278882172
454,"40169970",2,48.42,56.88,43.72,51.09,4,1,3,3,1,7,3,5,2,3,7,3,1,1,"Math & Computer Science",-0.215951160493448,0.653030721664411,-0.838166004413963,-0.216462270203939
665,"40169968",5,52.88,61.67,50.32,45.23,7,3,3,2,3,6,2,2,2,3,4,3,3,2,"Biological & Life Sciences",0.138526457898261,1.08034390499883,-0.0886635567506762,-0.894548347735686
442,"040171013",4,65.88,60.27,57.26,55.65,2,2,3,1,1,8,8,5,3,2,3,3,1,4,"Math & Computer Science",1.17175718415212,0.955450699013825,0.699449623064961,0.311195155315645
454,"40171234",3,45.74,43.13,50.75,46.64,6,1,3,2,1,8,5,6,3,1,3,2,4,2,"Math & Computer Science",-0.428955648675013,-0.573598979974066,-0.039832336675644,-0.731391117476341
453,"40171331",1,59.2,42.58,51.9,49.24,4,1,1,2,1,8,6,8,7,4,4,1,4,3,"Math & Computer Science",0.640835549430906,-0.622664168039604,0.0907627867808376,-0.430533813452016
454,"40173850",2,49.93,47.94,46.62,56.56,6,1,2,2,4,5,4,4,4,5,4,1,5,2,"Math & Computer Science",-0.0959374376747306,-0.144501607982714,-0.508839171349792,0.416495211724159
450,"40768391",2,61.78,57.89,50.09,52.15,3,1,4,2,5,5,1,8,4,1,2,2,5,1,"Math & Computer Science",0.84589210894898,0.743132248839311,-0.114782581441972,-0.0938050616401768
454,"40173115",2,56.49,60.27,52.39,43.09,4,2,3,2,1,5,4,7,5,2,5,4,1,3,"Math & Computer Science",0.425446682650294,0.955450699013825,0.146407665470991,-1.14217705181725
115,"40170505",5,70.93,66.29,68.3,58.15,7,1,3,4,6,8,3,5,4,3,5,4,5,1,"Health Professions",1.57312758165843,1.49249148474936,1.95316280824719,0.600481024569803
663,"40171684",3,55.65,64.04,68.3,54.43,5,2,3,2,2,8,4,5,6,4,4,3,4,1,"Biological & Life Sciences",0.358684081876967,1.29177026084488,1.95316280824719,0.170023651119616
663,"40170733",2,59.45,59.5,65.28,55.35,6,3,4,2,2,8,6,8,7,2,4,3,4,3,"Biological & Life Sciences",0.660705371089634,0.886759435722071,1.61020865795277,0.276480851005146
771,"40170009",3,54.83,52.08,52.55,59.55,3,1,3,2,6,7,4,6,6,3,7,1,4,2,"Engineering",0.293511066836339,0.224825444001525,0.164577421777979,0.762481111352131
663,"40170245",5,36.14,61.1,68.3,50.86,8,1,3,4,1,7,1,5,4,2,5,8,1,3,"Biological & Life Sciences",-1.19195680037017,1.02949452827637,1.95316280824719,-0.243076570175322
665,"40172278",4,55.65,59.5,64.45,39.95,5,4,3,4,1,6,4,6,4,2,4,6,5,4,"Biological & Life Sciences",0.358684081876967,0.886759435722071,1.51595304711027,-1.50552010360047
663,"40170944",2,51.58,66.29,54.55,51.26,4,1,3,2,3,6,3,4,4,1,1,3,4,3,"Biological & Life Sciences",0.0352033852728745,1.49249148474936,0.391699375615339,-0.196790831094657
